Course_ID,Course_Duration,Course_Duration_MOOC,Year,Courses_perYear,Duration_Video,Duration_Quiz,Duration_Exam,Number_Video,Number_Quiz,Number_Exam,Number_Video_1H,Number_Video_2H,Number_video_3H,Number_Video_4H,Number_Quizz_1H,Number_Quizz_2H,Number_Exam_1H,Number_Exam_2H,Number_Exam_3H,Number_Exam_4H
116,25,24,2013,2418,18,5,1,14,5,0,11,2,1,0,5,0,0,0,0,0
117,31,5,2013,2418,1,3,1,1,2,1,1,0,0,0,1,1,1,0,0,0
118,49,5,2013,2418,2,2,1,1,2,0,0,1,0,0,2,0,0,0,0,0
119,25,18,2013,2418,9,9,0,3,7,0,1,0,0,2,5,2,0,0,0,0
120,86,52,2013,2418,29,21,2,17,15,1,7,9,0,1,9,6,0,1,0,0
121,47,33,2013,2418,24,6,3,11,5,1,5,1,3,2,4,1,0,0,1,0
122,79,58,2013,2418,35,23,0,34,13,0,33,1,0,0,3,10,0,0,0,0
123,25,24,2013,2418,17,5,2,9,4,1,5,1,2,1,3,1,0,1,0,0
124,33,26,2013,2418,10,13,3,6,11,2,2,4,0,0,9,2,1,1,0,0
125,17,17,2013,2418,5,10,2,4,6,2,3,1,0,0,2,4,2,0,0,0
126,11,7,2013,2418,2,3,2,1,3,1,0,1,0,0,3,0,0,1,0,0
127,24,16,2013,2418,8,8,0,4,8,0,1,2,1,0,8,0,0,0,0,0
128,10,4,2013,2418,1,2,1,1,2,1,1,0,0,0,2,0,1,0,0,0
129,24,19,2013,2418,11,6,2,6,5,2,3,2,0,1,4,1,2,0,0,0
130,23,23,2013,2418,12,8,3,3,4,1,0,0,0,3,0,4,0,0,1,0
131,40,27,2013,2418,19,7,1,11,4,1,5,4,2,0,1,3,1,0,0,0
132,54,23,2013,2418,7,13,3,4,10,2,3,0,0,1,7,3,1,1,0,0
133,29,17,2013,2418,9,7,1,8,7,1,7,1,0,0,7,0,1,0,0,0
134,11,7,2013,2418,4,3,0,3,3,0,2,1,0,0,3,0,0,0,0,0
135,15,10,2013,2418,5,4,1,4,4,0,3,1,0,0,4,0,0,0,0,0
136,39,10,2013,2418,3,4,3,2,3,2,1,1,0,0,2,1,1,1,0,0
137,38,17,2013,2418,11,4,2,9,3,2,7,2,0,0,2,1,2,0,0,0
138,12,6,2013,2418,2,3,1,1,2,0,0,1,0,0,1,1,0,0,0,0
139,26,13,2013,2418,8,5,0,2,3,0,0,0,0,2,1,2,0,0,0,0
140,60,3,2013,2418,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
141,56,19,2013,2418,14,5,0,12,4,0,11,0,1,0,3,1,0,0,0,0
142,28,19,2013,2418,8,7,4,7,4,3,6,1,0,0,1,3,2,1,0,0
143,11,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
144,11,11,2013,2418,6,5,0,2,3,0,0,1,0,1,1,2,0,0,0,0
145,36,10,2013,2418,7,2,1,7,1,1,7,0,0,0,0,1,1,0,0,0
146,58,26,2013,2418,10,13,3,6,12,2,2,4,0,0,11,1,1,1,0,0
147,49,8,2013,2418,2,4,2,1,3,1,0,1,0,0,2,1,0,1,0,0
148,15,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
149,30,8,2013,2418,5,2,1,5,2,1,5,0,0,0,2,0,1,0,0,0
150,82,34,2013,2418,18,14,2,14,13,2,10,4,0,0,12,1,2,0,0,0
151,36,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
152,19,6,2013,2418,3,2,1,1,2,1,0,0,1,0,2,0,1,0,0,0
153,34,14,2013,2418,7,4,3,4,4,3,1,3,0,0,4,0,3,0,0,0
154,12,3,2013,2418,2,1,0,2,1,0,2,0,0,0,1,0,0,0,0,0
155,34,6,2013,2418,2,3,1,1,3,1,0,1,0,0,3,0,1,0,0,0
157,61,37,2013,2418,18,18,1,16,10,1,15,0,1,0,2,8,1,0,0,0
158,15,2,2013,2418,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
159,40,29,2013,2418,16,11,2,7,10,2,2,3,0,2,9,1,2,0,0,0
160,49,33,2013,2418,11,19,3,4,17,1,1,1,0,2,15,2,0,0,1,0
161,79,66,2013,2418,41,25,0,40,13,0,39,1,0,0,1,12,0,0,0,0
162,15,5,2013,2418,2,2,1,1,2,1,0,1,0,0,2,0,1,0,0,0
163,46,26,2013,2418,15,9,2,9,6,2,3,6,0,0,3,3,2,0,0,0
164,20,17,2013,2418,11,6,0,3,4,0,0,0,1,2,2,2,0,0,0,0
165,14,10,2013,2418,7,2,1,5,2,0,4,0,1,0,2,0,0,0,0,0
166,16,5,2013,2418,2,2,1,2,1,0,2,0,0,0,0,1,0,0,0,0
167,15,3,2013,2418,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
168,38,38,2013,2418,24,13,1,10,7,1,2,3,4,1,1,6,1,0,0,0
169,48,3,2013,2418,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
170,32,9,2013,2418,5,3,1,5,3,1,5,0,0,0,3,0,1,0,0,0
171,46,45,2013,2418,30,14,1,21,8,1,16,3,0,2,2,6,1,0,0,0
172,38,18,2013,2418,10,6,2,5,5,1,3,0,1,1,4,1,0,1,0,0
174,35,13,2013,2418,6,6,1,4,5,1,2,2,0,0,4,1,1,0,0,0
175,23,23,2013,2418,13,9,1,12,8,0,11,1,0,0,7,1,0,0,0,0
176,70,48,2013,2418,19,26,3,9,25,2,0,8,1,0,24,1,1,1,0,0
177,12,6,2013,2418,2,3,1,2,3,0,2,0,0,0,3,0,0,0,0,0
178,25,10,2013,2418,3,4,3,3,3,2,3,0,0,0,2,1,1,1,0,0
179,31,16,2013,2418,5,9,2,3,7,2,2,0,1,0,5,2,2,0,0,0
180,40,20,2013,2418,5,11,4,3,8,2,1,2,0,0,5,3,1,0,1,0
181,10,4,2013,2418,2,2,0,1,2,0,0,1,0,0,2,0,0,0,0,0
182,31,27,2013,2418,11,15,1,10,13,0,9,1,0,0,11,2,0,0,0,0
183,66,59,2013,2418,37,20,2,13,10,2,0,7,1,5,0,10,2,0,0,0
184,24,17,2013,2418,9,5,3,8,3,1,7,1,0,0,1,2,0,0,1,0
185,27,24,2013,2418,10,12,2,3,11,2,0,0,2,1,10,1,2,0,0,0
186,42,16,2013,2418,8,5,3,8,3,2,8,0,0,0,1,2,1,1,0,0
187,19,19,2013,2418,6,9,4,3,8,4,1,1,1,0,7,1,4,0,0,0
188,26,12,2013,2418,3,6,3,3,4,2,3,0,0,0,2,2,1,1,0,0
189,29,18,2013,2418,12,4,2,4,3,2,1,0,1,2,2,1,2,0,0,0
190,58,49,2013,2418,18,28,3,9,20,2,4,2,2,1,12,8,1,1,0,0
191,15,4,2013,2418,1,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0
192,34,22,2013,2418,10,10,2,8,7,1,7,0,1,0,4,3,0,1,0,0
193,75,44,2013,2418,32,11,1,26,9,1,22,3,0,1,7,2,1,0,0,0
194,38,35,2013,2418,14,18,3,4,14,2,0,1,0,3,10,4,1,1,0,0
195,40,4,2013,2418,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0
196,72,23,2013,2418,16,4,3,8,3,1,2,5,0,1,2,1,0,0,1,0
197,26,2,2013,2418,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
198,11,9,2013,2418,6,3,0,6,3,0,6,0,0,0,3,0,0,0,0,0
199,21,12,2013,2418,4,5,3,1,3,1,0,0,0,1,1,2,0,0,1,0
200,28,11,2013,2418,3,6,2,1,5,2,0,0,1,0,4,1,2,0,0,0
201,89,27,2013,2418,18,9,0,10,6,0,3,6,1,0,3,3,0,0,0,0
202,19,3,2013,2418,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
203,13,4,2013,2418,1,2,1,1,2,1,1,0,0,0,2,0,1,0,0,0
204,39,25,2013,2418,11,13,1,6,9,1,4,0,1,1,5,4,1,0,0,0
205,66,44,2013,2418,18,23,3,6,14,1,1,1,1,3,5,9,0,0,1,0
206,28,16,2013,2418,7,6,3,2,4,2,0,0,1,1,2,2,1,1,0,0
207,71,36,2013,2418,16,16,4,8,10,3,2,4,2,0,4,6,2,1,0,0
208,81,38,2013,2418,24,11,3,7,10,3,0,1,2,4,9,1,3,0,0,0
209,21,17,2013,2418,12,3,2,12,2,1,12,0,0,0,1,1,0,1,0,0
210,72,10,2013,2418,3,6,1,2,4,0,1,1,0,0,2,2,0,0,0,0
211,40,20,2013,2418,14,5,1,4,3,1,0,1,0,3,1,2,1,0,0,0
212,27,6,2013,2418,4,2,0,3,2,0,2,1,0,0,2,0,0,0,0,0
213,13,10,2013,2418,5,4,1,4,2,0,3,1,0,0,0,2,0,0,0,0
214,31,27,2013,2418,12,14,1,8,12,0,5,2,1,0,10,2,0,0,0,0
215,57,50,2013,2418,23,24,3,20,13,2,18,1,1,0,2,11,1,1,0,0
216,12,6,2013,2418,3,2,1,2,2,0,1,1,0,0,2,0,0,0,0,0
217,15,7,2013,2418,4,3,0,1,2,0,0,0,0,1,1,1,0,0,0,0
218,29,28,2013,2418,20,7,1,11,4,1,5,4,1,1,1,3,1,0,0,0
219,11,4,2013,2418,1,2,1,1,2,1,1,0,0,0,2,0,1,0,0,0
220,75,8,2013,2418,4,3,1,2,3,1,0,2,0,0,3,0,1,0,0,0
221,13,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
222,15,11,2013,2418,3,6,2,1,4,2,0,0,1,0,2,2,2,0,0,0
223,26,20,2013,2418,7,12,1,6,9,1,5,1,0,0,6,3,1,0,0,0
224,11,9,2013,2418,5,3,1,2,2,0,1,0,0,1,1,1,0,0,0,0
225,30,23,2013,2418,15,5,3,12,4,3,9,3,0,0,3,1,3,0,0,0
226,11,6,2013,2418,4,2,0,3,1,0,2,1,0,0,0,1,0,0,0,0
227,73,26,2013,2418,19,4,3,11,3,1,7,2,0,2,2,1,0,0,1,0
228,24,6,2013,2418,3,3,0,2,2,0,1,1,0,0,1,1,0,0,0,0
229,21,3,2013,2418,2,1,0,2,1,0,2,0,0,0,1,0,0,0,0,0
230,16,2,2013,2418,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
231,29,29,2013,2418,18,10,1,6,10,1,0,1,4,1,10,0,1,0,0,0
232,19,4,2013,2418,1,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0
233,35,31,2013,2418,23,7,1,7,5,1,0,1,3,3,3,2,1,0,0,0
234,15,2,2013,2418,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
235,43,28,2013,2418,17,9,2,11,6,2,8,1,1,1,3,3,2,0,0,0
236,34,15,2013,2418,5,8,2,4,6,1,3,1,0,0,4,2,0,1,0,0
237,14,13,2013,2418,8,4,1,5,3,0,2,3,0,0,2,1,0,0,0,0
238,11,2,2013,2418,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
239,11,7,2013,2418,2,4,1,1,2,1,0,1,0,0,0,2,1,0,0,0
240,81,35,2013,2418,24,10,1,9,7,1,2,0,6,1,4,3,1,0,0,0
241,23,17,2013,2418,8,8,1,6,5,1,5,0,1,0,2,3,1,0,0,0
242,18,18,2013,2418,8,8,2,3,6,2,0,1,2,0,4,2,2,0,0,0
243,90,39,2013,2418,15,22,2,6,12,2,1,1,4,0,2,10,2,0,0,0
244,17,11,2013,2418,5,5,1,3,4,1,2,0,1,0,3,1,1,0,0,0
245,14,9,2013,2418,3,5,1,2,3,1,1,1,0,0,1,2,1,0,0,0
246,10,6,2013,2418,2,3,1,2,3,1,2,0,0,0,3,0,1,0,0,0
247,15,14,2013,2418,7,7,0,6,6,0,5,1,0,0,5,1,0,0,0,0
248,11,10,2013,2418,6,3,1,4,3,1,2,2,0,0,3,0,1,0,0,0
249,28,3,2013,2418,2,1,0,2,1,0,2,0,0,0,1,0,0,0,0,0
250,15,8,2013,2418,3,4,1,1,3,1,0,0,1,0,2,1,1,0,0,0
251,16,5,2013,2418,3,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0
252,14,3,2013,2418,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
253,11,6,2013,2418,2,3,1,2,2,1,2,0,0,0,1,1,1,0,0,0
254,32,13,2013,2418,9,4,0,7,3,0,6,0,1,0,2,1,0,0,0,0
255,89,82,2013,2418,39,39,4,36,38,4,34,1,1,0,37,1,4,0,0,0
256,35,20,2013,2418,8,8,4,5,5,1,2,3,0,0,2,3,0,0,0,1
257,19,4,2013,2418,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0
258,27,2,2013,2418,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
259,68,45,2013,2418,27,17,1,13,13,0,4,5,3,1,9,4,0,0,0,0
260,56,18,2013,2418,9,6,3,9,5,2,9,0,0,0,4,1,1,1,0,0
261,32,31,2013,2418,19,9,3,5,6,1,0,0,1,4,3,3,0,0,1,0
262,68,15,2013,2418,4,7,4,1,7,3,0,0,0,1,7,0,2,1,0,0
263,40,31,2013,2418,12,19,0,6,11,0,2,2,2,0,3,8,0,0,0,0
264,63,9,2013,2418,5,3,1,2,2,1,0,1,1,0,1,1,1,0,0,0
265,56,50,2013,2418,29,18,3,11,9,2,0,6,3,2,0,9,1,1,0,0
266,50,22,2013,2418,11,9,2,7,8,2,4,2,1,0,7,1,2,0,0,0
267,71,55,2013,2418,34,21,0,23,14,0,17,2,3,1,7,7,0,0,0,0
268,15,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
269,15,13,2013,2418,3,7,3,3,6,3,3,0,0,0,5,1,3,0,0,0
270,14,2,2013,2418,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
271,51,44,2013,2418,26,14,4,24,11,2,22,2,0,0,8,3,1,0,1,0
272,67,31,2013,2418,18,11,2,14,10,1,11,2,1,0,9,1,0,1,0,0
273,57,32,2013,2418,13,17,2,4,12,1,1,0,0,3,7,5,0,1,0,0
274,76,33,2013,2418,14,18,1,14,13,0,14,0,0,0,8,5,0,0,0,0
275,84,78,2013,2418,49,28,1,44,26,0,39,5,0,0,24,2,0,0,0,0
276,36,11,2013,2418,5,5,1,2,4,1,1,0,0,1,3,1,1,0,0,0
277,40,26,2013,2418,14,11,1,8,9,1,3,4,1,0,7,2,1,0,0,0
278,65,48,2013,2418,28,16,4,18,10,3,11,4,3,0,4,6,2,1,0,0
279,36,30,2013,2418,15,14,1,10,12,1,7,1,2,0,10,2,1,0,0,0
280,28,21,2013,2418,13,8,0,5,4,0,0,3,1,1,0,4,0,0,0,0
281,40,20,2013,2418,6,10,4,2,5,4,0,0,2,0,0,5,4,0,0,0
282,22,19,2013,2418,6,10,3,2,8,3,0,0,2,0,6,2,3,0,0,0
283,21,4,2013,2418,1,2,1,1,1,1,1,0,0,0,0,1,1,0,0,0
284,26,15,2013,2418,8,6,1,4,5,1,1,2,1,0,4,1,1,0,0,0
285,31,24,2013,2418,8,13,3,2,13,1,0,0,0,2,13,0,0,0,1,0
286,27,23,2013,2418,10,11,2,3,10,2,0,1,0,2,9,1,2,0,0,0
287,10,3,2013,2418,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
288,26,2,2013,2418,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
289,26,10,2013,2418,7,3,0,4,2,0,3,0,0,1,1,1,0,0,0,0
290,18,2,2013,2418,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
291,57,6,2013,2418,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0,0
292,13,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
293,19,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
294,85,62,2013,2418,25,34,3,6,26,3,0,0,0,0,18,8,3,0,0,0
295,85,48,2013,2418,23,22,3,18,11,3,14,3,1,0,0,11,3,0,0,0
296,11,3,2013,2418,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
297,40,20,2013,2418,8,11,1,3,11,1,1,0,1,1,11,0,1,0,0,0
298,22,17,2013,2418,7,8,2,5,5,1,3,2,0,0,2,3,0,1,0,0
299,15,9,2013,2418,3,4,2,2,3,1,1,1,0,0,2,1,0,1,0,0
300,19,5,2013,2418,2,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0
301,16,16,2013,2418,5,8,3,5,5,1,5,0,0,0,2,3,0,0,1,0
302,13,10,2013,2418,3,4,3,1,3,1,0,0,1,0,2,1,0,0,1,0
303,15,13,2013,2418,4,6,3,3,4,1,2,1,0,0,2,2,0,0,1,0
304,11,4,2013,2418,1,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0
305,64,15,2013,2418,8,4,3,5,4,1,2,3,0,0,4,0,0,0,1,0
306,10,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
307,16,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
308,15,13,2013,2418,9,4,0,8,3,0,7,1,0,0,2,1,0,0,0,0
309,56,55,2013,2418,27,27,1,9,17,1,1,0,6,2,7,10,1,0,0,0
310,29,15,2013,2418,8,6,1,4,3,1,2,0,2,0,0,3,1,0,0,0
311,27,18,2013,2418,8,7,3,6,5,2,4,2,0,0,3,2,1,1,0,0
312,22,19,2013,2418,7,11,1,7,8,1,7,0,0,0,5,3,1,0,0,0
313,14,4,2013,2418,3,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
314,50,18,2013,2418,10,8,0,4,6,0,0,3,0,1,4,2,0,0,0,0
