Course_ID,Course_Duration,Course_Duration_MOOC,Course_Duration_Lecture,Year,Courses_perYear,Hybridation_Level
65,87,64,23,2011,2666,Medium-High Hybridation
66,32,12,20,2011,2666,Medium-Low Hybridation
67,59,32,27,2011,2666,Medium-High Hybridation
68,36,10,26,2011,2666,Medium-Low Hybridation
69,62,50,12,2011,2666,High Hybridation
70,26,1,25,2011,2666,Low Hybridation
71,32,29,3,2011,2666,High Hybridation
72,15,0,15,2011,2666,Low Hybridation
73,56,3,53,2011,2666,Low Hybridation
74,11,3,8,2011,2666,Medium-Low Hybridation
75,41,0,41,2011,2666,Low Hybridation
76,87,44,44,2011,2666,Medium-High Hybridation
77,11,3,8,2011,2666,Medium-Low Hybridation
78,14,6,8,2011,2666,Medium-Low Hybridation
79,25,2,23,2011,2666,Low Hybridation
80,21,8,13,2011,2666,Medium-Low Hybridation
81,81,18,63,2011,2666,Medium-Low Hybridation
82,90,66,24,2011,2666,Medium-High Hybridation
83,79,51,28,2011,2666,Medium-High Hybridation
84,28,16,12,2011,2666,Medium-High Hybridation
85,60,32,28,2011,2666,Medium-High Hybridation
86,38,36,2,2011,2666,High Hybridation
87,27,23,4,2011,2666,High Hybridation
88,40,26,14,2011,2666,Medium-High Hybridation
89,74,62,12,2011,2666,High Hybridation
90,27,11,16,2011,2666,Medium-Low Hybridation
91,70,47,23,2011,2666,Medium-High Hybridation
92,38,28,10,2011,2666,Medium-High Hybridation
93,10,6,4,2011,2666,Medium-High Hybridation
94,34,17,17,2011,2666,Medium-Low Hybridation
95,22,8,14,2011,2666,Medium-Low Hybridation
96,37,25,12,2011,2666,Medium-High Hybridation
97,26,23,3,2011,2666,High Hybridation
98,40,1,39,2011,2666,Low Hybridation
99,50,25,25,2011,2666,Medium-Low Hybridation
100,69,5,64,2011,2666,Low Hybridation
101,81,65,16,2011,2666,High Hybridation
102,16,9,7,2011,2666,Medium-High Hybridation
103,35,2,33,2011,2666,Low Hybridation
104,58,45,13,2011,2666,Medium-High Hybridation
105,12,6,6,2011,2666,Medium-Low Hybridation
106,22,15,7,2011,2666,Medium-High Hybridation
107,15,14,1,2011,2666,High Hybridation
108,51,36,15,2011,2666,Medium-High Hybridation
109,36,17,19,2011,2666,Medium-Low Hybridation
110,29,3,26,2011,2666,Low Hybridation
111,64,24,40,2011,2666,Medium-Low Hybridation
112,73,28,45,2011,2666,Medium-Low Hybridation
113,36,29,7,2011,2666,High Hybridation
114,11,1,10,2011,2666,Low Hybridation
115,23,3,20,2011,2666,Low Hybridation
116,11,5,6,2011,2666,Medium-Low Hybridation
117,54,14,40,2011,2666,Medium-Low Hybridation
118,81,2,79,2011,2666,Low Hybridation
119,40,11,29,2011,2666,Medium-Low Hybridation
120,56,26,30,2011,2666,Medium-Low Hybridation
121,39,16,23,2011,2666,Medium-Low Hybridation
122,27,17,10,2011,2666,Medium-High Hybridation
123,10,8,2,2011,2666,Medium-High Hybridation
124,13,7,6,2011,2666,Medium-High Hybridation
125,27,8,19,2011,2666,Medium-Low Hybridation
126,66,51,15,2011,2666,Medium-High Hybridation
127,32,13,19,2011,2666,Medium-Low Hybridation
128,90,58,32,2011,2666,Medium-High Hybridation
129,30,4,26,2011,2666,Low Hybridation
130,37,26,11,2011,2666,Medium-High Hybridation
131,26,12,14,2011,2666,Medium-Low Hybridation
132,32,3,29,2011,2666,Low Hybridation
133,28,20,8,2011,2666,Medium-High Hybridation
134,29,13,16,2011,2666,Medium-Low Hybridation
135,11,9,2,2011,2666,High Hybridation
136,46,38,8,2011,2666,High Hybridation
137,14,3,11,2011,2666,Medium-Low Hybridation
138,19,15,4,2011,2666,Medium-High Hybridation
139,23,11,12,2011,2666,Medium-Low Hybridation
140,50,0,50,2011,2666,Low Hybridation
141,30,0,30,2011,2666,Low Hybridation
142,36,21,15,2011,2666,Medium-High Hybridation
143,15,10,5,2011,2666,Medium-High Hybridation
144,54,32,22,2011,2666,Medium-High Hybridation
145,24,23,1,2011,2666,High Hybridation
146,55,28,28,2011,2666,Medium-High Hybridation
147,12,0,12,2011,2666,Low Hybridation
148,27,26,1,2011,2666,High Hybridation
149,80,40,40,2011,2666,Medium-Low Hybridation
150,24,1,23,2011,2666,Low Hybridation
151,32,26,6,2011,2666,High Hybridation
152,26,3,23,2011,2666,Low Hybridation
153,48,15,33,2011,2666,Medium-Low Hybridation
154,58,9,49,2011,2666,Low Hybridation
155,58,16,42,2011,2666,Medium-Low Hybridation
156,44,36,8,2011,2666,High Hybridation
157,44,10,34,2011,2666,Medium-Low Hybridation
158,42,14,28,2011,2666,Medium-Low Hybridation
159,40,29,11,2011,2666,Medium-High Hybridation
160,30,16,14,2011,2666,Medium-High Hybridation
161,35,24,11,2011,2666,Medium-High Hybridation
162,12,7,5,2011,2666,Medium-High Hybridation
163,28,1,27,2011,2666,Low Hybridation
164,23,14,9,2011,2666,Medium-High Hybridation
165,12,2,10,2011,2666,Low Hybridation
166,12,5,7,2011,2666,Medium-Low Hybridation
167,80,1,79,2011,2666,Low Hybridation
168,39,31,8,2011,2666,Medium-High Hybridation
169,41,5,36,2011,2666,Low Hybridation
170,34,28,6,2011,2666,High Hybridation
171,13,0,13,2011,2666,Low Hybridation
172,39,8,31,2011,2666,Medium-Low Hybridation
173,72,31,41,2011,2666,Medium-Low Hybridation
174,30,2,28,2011,2666,Low Hybridation
175,14,0,14,2011,2666,Low Hybridation
176,70,27,43,2011,2666,Medium-Low Hybridation
177,34,15,19,2011,2666,Medium-Low Hybridation
178,83,78,5,2011,2666,High Hybridation
179,17,10,7,2011,2666,Medium-High Hybridation
180,29,16,13,2011,2666,Medium-High Hybridation
181,10,2,8,2011,2666,Low Hybridation
182,34,10,24,2011,2666,Medium-Low Hybridation
183,38,32,6,2011,2666,High Hybridation
184,12,11,1,2011,2666,High Hybridation
185,10,7,3,2011,2666,Medium-High Hybridation
186,25,7,18,2011,2666,Medium-Low Hybridation
187,57,23,34,2011,2666,Medium-Low Hybridation
188,15,9,6,2011,2666,Medium-High Hybridation
189,81,48,33,2011,2666,Medium-High Hybridation
190,30,28,2,2011,2666,High Hybridation
191,39,23,16,2011,2666,Medium-High Hybridation
192,25,7,18,2011,2666,Medium-Low Hybridation
193,62,29,33,2011,2666,Medium-Low Hybridation
194,12,1,11,2011,2666,Low Hybridation
195,11,6,5,2011,2666,Medium-High Hybridation
196,54,52,2,2011,2666,High Hybridation
197,11,10,1,2011,2666,High Hybridation
198,25,1,24,2011,2666,Low Hybridation
199,37,3,34,2011,2666,Low Hybridation
200,11,7,4,2011,2666,Medium-High Hybridation
201,26,6,20,2011,2666,Medium-Low Hybridation
202,70,18,52,2011,2666,Medium-Low Hybridation
203,19,7,12,2011,2666,Medium-Low Hybridation
204,15,14,1,2011,2666,High Hybridation
205,26,5,21,2011,2666,Low Hybridation
206,10,9,1,2011,2666,High Hybridation
207,15,5,10,2011,2666,Medium-Low Hybridation
208,11,9,2,2011,2666,High Hybridation
209,48,12,36,2011,2666,Medium-Low Hybridation
210,26,10,16,2011,2666,Medium-Low Hybridation
211,47,18,29,2011,2666,Medium-Low Hybridation
212,14,12,2,2011,2666,High Hybridation
213,15,12,3,2011,2666,Medium-High Hybridation
214,54,47,7,2011,2666,High Hybridation
215,13,12,1,2011,2666,High Hybridation
216,22,18,4,2011,2666,High Hybridation
217,87,28,59,2011,2666,Medium-Low Hybridation
218,59,23,36,2011,2666,Medium-Low Hybridation
219,21,2,19,2011,2666,Low Hybridation
220,16,9,7,2011,2666,Medium-High Hybridation
221,32,17,15,2011,2666,Medium-High Hybridation
222,31,11,20,2011,2666,Medium-Low Hybridation
223,55,15,40,2011,2666,Medium-Low Hybridation
224,33,10,23,2011,2666,Medium-Low Hybridation
225,16,16,0,2011,2666,High Hybridation
226,21,20,1,2011,2666,High Hybridation
227,11,10,1,2011,2666,High Hybridation
228,10,0,10,2011,2666,Low Hybridation
229,16,10,6,2011,2666,Medium-High Hybridation
230,40,26,14,2011,2666,Medium-High Hybridation
231,23,23,0,2011,2666,High Hybridation
232,74,61,13,2011,2666,High Hybridation
233,21,4,17,2011,2666,Low Hybridation
234,17,10,7,2011,2666,Medium-High Hybridation
235,20,19,1,2011,2666,High Hybridation
236,48,15,33,2011,2666,Medium-Low Hybridation
237,30,26,4,2011,2666,High Hybridation
238,18,12,6,2011,2666,Medium-High Hybridation
239,48,40,8,2011,2666,High Hybridation
240,33,10,23,2011,2666,Medium-Low Hybridation
241,26,4,22,2011,2666,Low Hybridation
242,40,23,17,2011,2666,Medium-High Hybridation
243,69,54,15,2011,2666,Medium-High Hybridation
244,31,30,1,2011,2666,High Hybridation
245,27,15,12,2011,2666,Medium-High Hybridation
246,11,4,7,2011,2666,Medium-Low Hybridation
247,18,11,7,2011,2666,Medium-High Hybridation
248,38,25,13,2011,2666,Medium-High Hybridation
249,34,29,5,2011,2666,High Hybridation
250,77,40,37,2011,2666,Medium-High Hybridation
251,34,29,5,2011,2666,High Hybridation
252,15,1,14,2011,2666,Low Hybridation
253,77,57,20,2011,2666,Medium-High Hybridation
254,31,24,7,2011,2666,Medium-High Hybridation
255,40,36,4,2011,2666,High Hybridation
256,68,58,10,2011,2666,High Hybridation
257,12,7,5,2011,2666,Medium-High Hybridation
258,80,4,76,2011,2666,Low Hybridation
259,86,21,65,2011,2666,Medium-Low Hybridation
260,60,34,26,2011,2666,Medium-High Hybridation
261,85,9,76,2011,2666,Low Hybridation
262,28,2,26,2011,2666,Low Hybridation
263,38,19,19,2011,2666,Medium-Low Hybridation
264,86,9,77,2011,2666,Low Hybridation
265,14,12,2,2011,2666,High Hybridation
266,15,4,10,2011,2666,Medium-Low Hybridation
267,34,3,31,2011,2666,Low Hybridation
268,82,58,24,2011,2666,Medium-High Hybridation
269,43,19,24,2011,2666,Medium-Low Hybridation
270,15,14,1,2011,2666,High Hybridation
271,55,5,50,2011,2666,Low Hybridation
272,65,38,27,2011,2666,Medium-High Hybridation
273,15,2,13,2011,2666,Low Hybridation
274,27,0,27,2011,2666,Low Hybridation
275,46,25,21,2011,2666,Medium-High Hybridation
276,11,3,8,2011,2666,Medium-Low Hybridation
277,22,1,21,2011,2666,Low Hybridation
278,52,37,15,2011,2666,Medium-High Hybridation
279,31,25,6,2011,2666,High Hybridation
280,34,1,33,2011,2666,Low Hybridation
281,14,4,10,2011,2666,Medium-Low Hybridation
282,78,49,29,2011,2666,Medium-High Hybridation
283,17,10,7,2011,2666,Medium-High Hybridation
284,65,44,21,2011,2666,Medium-High Hybridation
285,30,15,15,2011,2666,Medium-Low Hybridation
286,11,6,5,2011,2666,Medium-High Hybridation
287,47,26,21,2011,2666,Medium-High Hybridation
288,54,38,16,2011,2666,Medium-High Hybridation
289,15,4,11,2011,2666,Medium-Low Hybridation
290,32,19,13,2011,2666,Medium-High Hybridation
291,26,8,18,2011,2666,Medium-Low Hybridation
292,35,2,33,2011,2666,Low Hybridation
293,50,30,20,2011,2666,Medium-High Hybridation
294,14,3,11,2011,2666,Medium-Low Hybridation
295,20,16,4,2011,2666,Medium-High Hybridation
296,11,8,3,2011,2666,Medium-High Hybridation
297,19,10,9,2011,2666,Medium-High Hybridation
298,47,20,27,2011,2666,Medium-Low Hybridation
299,10,7,3,2011,2666,Medium-High Hybridation
300,58,24,34,2011,2666,Medium-Low Hybridation
301,38,9,29,2011,2666,Medium-Low Hybridation
302,66,32,34,2011,2666,Medium-Low Hybridation
303,81,21,60,2011,2666,Medium-Low Hybridation
304,50,28,22,2011,2666,Medium-High Hybridation
305,10,8,2,2011,2666,Medium-High Hybridation
306,10,7,3,2011,2666,Medium-High Hybridation
307,51,46,5,2011,2666,High Hybridation
308,47,11,36,2011,2666,Medium-Low Hybridation
309,23,17,6,2011,2666,Medium-High Hybridation
310,32,15,17,2011,2666,Medium-Low Hybridation
311,28,25,3,2011,2666,High Hybridation
312,32,4,28,2011,2666,Low Hybridation
313,12,2,10,2011,2666,Low Hybridation
314,23,5,18,2011,2666,Medium-Low Hybridation
315,89,82,7,2011,2666,High Hybridation
316,70,4,66,2011,2666,Low Hybridation
317,36,30,6,2011,2666,High Hybridation
318,69,44,25,2011,2666,Medium-High Hybridation
319,20,19,1,2011,2666,High Hybridation
320,10,2,8,2011,2666,Low Hybridation
321,83,44,39,2011,2666,Medium-High Hybridation
322,75,26,50,2011,2666,Medium-Low Hybridation
323,65,12,53,2011,2666,Low Hybridation
324,48,27,21,2011,2666,Medium-High Hybridation
325,11,7,4,2011,2666,Medium-High Hybridation
326,20,3,17,2011,2666,Low Hybridation
327,18,5,13,2011,2666,Medium-Low Hybridation
328,18,4,14,2011,2666,Medium-Low Hybridation
329,11,8,3,2011,2666,Medium-High Hybridation
330,17,16,1,2011,2666,High Hybridation
331,15,10,5,2011,2666,Medium-High Hybridation
332,69,51,18,2011,2666,Medium-High Hybridation
333,37,10,27,2011,2666,Medium-Low Hybridation
334,21,1,20,2011,2666,Low Hybridation
335,63,37,26,2011,2666,Medium-High Hybridation
336,69,34,35,2011,2666,Medium-Low Hybridation
337,39,25,14,2011,2666,Medium-High Hybridation
338,17,16,1,2011,2666,High Hybridation
339,52,44,8,2011,2666,High Hybridation
340,34,6,28,2011,2666,Low Hybridation
341,90,35,55,2011,2666,Medium-Low Hybridation
342,17,15,2,2011,2666,High Hybridation
343,74,60,14,2011,2666,High Hybridation
344,34,20,14,2011,2666,Medium-High Hybridation
345,10,7,3,2011,2666,Medium-High Hybridation
346,13,5,8,2011,2666,Medium-Low Hybridation
347,22,18,4,2011,2666,High Hybridation
348,35,24,11,2011,2666,Medium-High Hybridation
349,43,28,15,2011,2666,Medium-High Hybridation
350,12,12,0,2011,2666,High Hybridation
351,28,18,10,2011,2666,Medium-High Hybridation
352,23,13,10,2011,2666,Medium-High Hybridation
353,28,9,19,2011,2666,Medium-Low Hybridation
354,33,7,26,2011,2666,Medium-Low Hybridation
355,77,55,22,2011,2666,Medium-High Hybridation
356,15,2,13,2011,2666,Low Hybridation
357,32,22,10,2011,2666,Medium-High Hybridation
358,40,30,10,2011,2666,Medium-High Hybridation
359,17,15,2,2011,2666,High Hybridation
360,82,60,22,2011,2666,Medium-High Hybridation
361,75,56,20,2011,2666,Medium-High Hybridation
362,62,15,47,2011,2666,Medium-Low Hybridation
363,15,2,14,2011,2666,Low Hybridation
364,14,4,10,2011,2666,Medium-Low Hybridation
365,62,50,12,2011,2666,High Hybridation
366,22,6,16,2011,2666,Medium-Low Hybridation
367,65,13,52,2011,2666,Low Hybridation
368,15,8,7,2011,2666,Medium-High Hybridation
369,41,6,35,2011,2666,Low Hybridation
370,19,1,18,2011,2666,Low Hybridation
371,21,6,15,2011,2666,Medium-Low Hybridation
372,26,6,20,2011,2666,Medium-Low Hybridation
373,38,24,14,2011,2666,Medium-High Hybridation
374,42,5,37,2011,2666,Low Hybridation
375,25,21,4,2011,2666,High Hybridation
376,23,5,18,2011,2666,Medium-Low Hybridation
377,62,32,30,2011,2666,Medium-High Hybridation
378,15,13,2,2011,2666,High Hybridation
379,10,2,8,2011,2666,Low Hybridation
380,14,13,1,2011,2666,High Hybridation
381,12,2,10,2011,2666,Low Hybridation
382,40,35,5,2011,2666,High Hybridation
383,35,6,29,2011,2666,Low Hybridation
384,81,58,23,2011,2666,Medium-High Hybridation
385,28,16,12,2011,2666,Medium-High Hybridation
386,50,9,41,2011,2666,Low Hybridation
387,10,9,1,2011,2666,High Hybridation
388,38,7,31,2011,2666,Low Hybridation
389,71,25,46,2011,2666,Medium-Low Hybridation
390,80,34,46,2011,2666,Medium-Low Hybridation
391,12,6,6,2011,2666,Medium-Low Hybridation
392,24,9,15,2011,2666,Medium-Low Hybridation
393,20,11,9,2011,2666,Medium-High Hybridation
394,14,3,11,2011,2666,Medium-Low Hybridation
395,31,25,6,2011,2666,High Hybridation
396,36,13,23,2011,2666,Medium-Low Hybridation
397,35,1,34,2011,2666,Low Hybridation
398,16,4,12,2011,2666,Medium-Low Hybridation
399,21,14,7,2011,2666,Medium-High Hybridation
400,10,1,9,2011,2666,Low Hybridation
401,10,1,9,2011,2666,Low Hybridation
402,30,14,16,2011,2666,Medium-Low Hybridation
403,47,5,42,2011,2666,Low Hybridation
404,31,14,17,2011,2666,Medium-Low Hybridation
405,66,47,19,2011,2666,Medium-High Hybridation
406,36,26,10,2011,2666,Medium-High Hybridation
407,14,11,3,2011,2666,Medium-High Hybridation
408,24,10,14,2011,2666,Medium-Low Hybridation
409,17,7,10,2011,2666,Medium-Low Hybridation
410,37,27,10,2011,2666,Medium-High Hybridation
411,13,6,6,2011,2666,Medium-Low Hybridation
412,12,7,5,2011,2666,Medium-High Hybridation
413,24,11,13,2011,2666,Medium-Low Hybridation
414,31,5,26,2011,2666,Low Hybridation
415,23,14,9,2011,2666,Medium-High Hybridation
416,20,5,15,2011,2666,Medium-Low Hybridation
417,50,6,44,2011,2666,Low Hybridation
418,25,1,24,2011,2666,Low Hybridation
419,86,4,82,2011,2666,Low Hybridation
420,75,34,41,2011,2666,Medium-Low Hybridation
421,76,27,49,2011,2666,Medium-Low Hybridation
422,30,10,20,2011,2666,Medium-Low Hybridation
423,40,26,14,2011,2666,Medium-High Hybridation
424,31,26,5,2011,2666,High Hybridation
425,20,17,3,2011,2666,High Hybridation
426,53,10,43,2011,2666,Low Hybridation
427,61,25,36,2011,2666,Medium-Low Hybridation
428,22,6,16,2011,2666,Medium-Low Hybridation
429,73,16,57,2011,2666,Medium-Low Hybridation
430,30,7,23,2011,2666,Medium-Low Hybridation
431,14,8,6,2011,2666,Medium-High Hybridation
432,66,32,34,2011,2666,Medium-Low Hybridation
433,20,4,16,2011,2666,Low Hybridation
434,71,70,1,2011,2666,High Hybridation
435,51,46,5,2011,2666,High Hybridation
436,33,3,30,2011,2666,Low Hybridation
437,35,28,7,2011,2666,Medium-High Hybridation
438,86,46,40,2011,2666,Medium-High Hybridation
439,39,30,9,2011,2666,Medium-High Hybridation
440,38,2,36,2011,2666,Low Hybridation
441,37,34,3,2011,2666,High Hybridation
442,16,15,1,2011,2666,High Hybridation
443,16,1,15,2011,2666,Low Hybridation
444,13,11,2,2011,2666,High Hybridation
445,37,10,27,2011,2666,Medium-Low Hybridation
446,15,7,8,2011,2666,Medium-Low Hybridation
447,15,9,6,2011,2666,Medium-High Hybridation
448,14,7,7,2011,2666,Medium-Low Hybridation
449,21,16,5,2011,2666,Medium-High Hybridation
450,15,9,6,2011,2666,Medium-High Hybridation
451,18,8,10,2011,2666,Medium-Low Hybridation
452,12,1,11,2011,2666,Low Hybridation
453,40,19,21,2011,2666,Medium-Low Hybridation
454,29,22,7,2011,2666,Medium-High Hybridation
455,25,21,4,2011,2666,High Hybridation
456,38,14,24,2011,2666,Medium-Low Hybridation
457,13,2,11,2011,2666,Low Hybridation
458,35,9,26,2011,2666,Medium-Low Hybridation
459,33,16,17,2011,2666,Medium-Low Hybridation
460,86,52,34,2011,2666,Medium-High Hybridation
461,33,33,0,2011,2666,High Hybridation
462,46,19,27,2011,2666,Medium-Low Hybridation
463,32,16,16,2011,2666,Medium-Low Hybridation
464,24,5,19,2011,2666,Medium-Low Hybridation
465,11,2,9,2011,2666,Low Hybridation
466,18,13,5,2011,2666,Medium-High Hybridation
467,29,19,10,2011,2666,Medium-High Hybridation
468,48,21,27,2011,2666,Medium-Low Hybridation
469,39,34,5,2011,2666,High Hybridation
470,15,13,2,2011,2666,High Hybridation
471,10,8,2,2011,2666,Medium-High Hybridation
472,10,6,4,2011,2666,Medium-High Hybridation
473,27,9,18,2011,2666,Medium-Low Hybridation
474,17,11,6,2011,2666,Medium-High Hybridation
475,71,11,60,2011,2666,Low Hybridation
476,83,81,2,2011,2666,High Hybridation
477,27,11,16,2011,2666,Medium-Low Hybridation
478,62,61,1,2011,2666,High Hybridation
479,80,66,14,2011,2666,High Hybridation
480,23,14,9,2011,2666,Medium-High Hybridation
481,12,8,4,2011,2666,Medium-High Hybridation
482,31,30,1,2011,2666,High Hybridation
483,45,32,13,2011,2666,Medium-High Hybridation
484,11,6,5,2011,2666,Medium-High Hybridation
485,13,10,3,2011,2666,Medium-High Hybridation
486,13,1,12,2011,2666,Low Hybridation
487,28,12,16,2011,2666,Medium-Low Hybridation
488,35,8,27,2011,2666,Medium-Low Hybridation
489,54,14,40,2011,2666,Medium-Low Hybridation
490,72,58,14,2011,2666,High Hybridation
491,30,5,25,2011,2666,Low Hybridation
492,78,74,4,2011,2666,High Hybridation
493,10,4,6,2011,2666,Medium-Low Hybridation
494,13,1,12,2011,2666,Low Hybridation
495,15,11,4,2011,2666,Medium-High Hybridation
496,10,3,7,2011,2666,Medium-Low Hybridation
497,49,1,48,2011,2666,Low Hybridation
498,15,9,6,2011,2666,Medium-High Hybridation
499,87,50,37,2011,2666,Medium-High Hybridation
500,88,62,26,2011,2666,Medium-High Hybridation
501,87,11,76,2011,2666,Low Hybridation
502,10,6,4,2011,2666,Medium-High Hybridation
503,27,14,13,2011,2666,Medium-High Hybridation
504,70,44,26,2011,2666,Medium-High Hybridation
505,75,29,46,2011,2666,Medium-Low Hybridation
506,24,2,22,2011,2666,Low Hybridation
507,42,30,12,2011,2666,Medium-High Hybridation
508,12,5,7,2011,2666,Medium-Low Hybridation
509,11,5,6,2011,2666,Medium-Low Hybridation
510,21,13,8,2011,2666,Medium-High Hybridation
511,52,32,20,2011,2666,Medium-High Hybridation
512,38,30,8,2011,2666,Medium-High Hybridation
513,39,14,25,2011,2666,Medium-Low Hybridation
514,50,27,23,2011,2666,Medium-High Hybridation
515,53,43,10,2011,2666,High Hybridation
516,64,54,10,2011,2666,High Hybridation
517,73,47,26,2011,2666,Medium-High Hybridation
518,16,4,12,2011,2666,Medium-Low Hybridation
519,32,19,13,2011,2666,Medium-High Hybridation
520,61,29,32,2011,2666,Medium-Low Hybridation
521,79,16,63,2011,2666,Medium-Low Hybridation
522,27,12,15,2011,2666,Medium-Low Hybridation
523,76,49,27,2011,2666,Medium-High Hybridation
524,82,80,2,2011,2666,High Hybridation
525,27,17,10,2011,2666,Medium-High Hybridation
526,27,22,5,2011,2666,High Hybridation
527,19,13,6,2011,2666,Medium-High Hybridation
528,21,14,7,2011,2666,Medium-High Hybridation
529,27,6,21,2011,2666,Medium-Low Hybridation
530,25,24,1,2011,2666,High Hybridation
531,15,4,11,2011,2666,Medium-Low Hybridation
532,82,54,28,2011,2666,Medium-High Hybridation
533,65,1,64,2011,2666,Low Hybridation
534,19,11,8,2011,2666,Medium-High Hybridation
535,24,19,5,2011,2666,Medium-High Hybridation
536,47,19,28,2011,2666,Medium-Low Hybridation
537,14,2,12,2011,2666,Low Hybridation
538,22,6,16,2011,2666,Medium-Low Hybridation
539,18,3,15,2011,2666,Low Hybridation
540,38,32,6,2011,2666,High Hybridation
541,14,7,7,2011,2666,Medium-Low Hybridation
542,19,15,4,2011,2666,Medium-High Hybridation
543,23,16,7,2011,2666,Medium-High Hybridation
544,34,21,13,2011,2666,Medium-High Hybridation
545,74,40,34,2011,2666,Medium-High Hybridation
546,12,10,2,2011,2666,High Hybridation
547,14,7,7,2011,2666,Medium-Low Hybridation
548,29,18,11,2011,2666,Medium-High Hybridation
549,63,11,52,2011,2666,Low Hybridation
550,13,11,2,2011,2666,High Hybridation
551,19,4,15,2011,2666,Medium-Low Hybridation
552,15,15,0,2011,2666,High Hybridation
553,37,24,13,2011,2666,Medium-High Hybridation
554,15,6,9,2011,2666,Medium-Low Hybridation
555,13,1,12,2011,2666,Low Hybridation
556,27,7,20,2011,2666,Medium-Low Hybridation
557,13,7,6,2011,2666,Medium-High Hybridation
558,37,23,14,2011,2666,Medium-High Hybridation
559,42,26,16,2011,2666,Medium-High Hybridation
560,37,3,34,2011,2666,Low Hybridation
561,14,13,1,2011,2666,High Hybridation
562,12,4,8,2011,2666,Medium-Low Hybridation
563,25,9,16,2011,2666,Medium-Low Hybridation
564,40,24,16,2011,2666,Medium-High Hybridation
565,25,14,11,2011,2666,Medium-High Hybridation
566,34,30,4,2011,2666,High Hybridation
567,46,13,33,2011,2666,Medium-Low Hybridation
568,89,65,24,2011,2666,Medium-High Hybridation
569,32,28,4,2011,2666,High Hybridation
570,39,12,27,2011,2666,Medium-Low Hybridation
571,40,19,21,2011,2666,Medium-Low Hybridation
572,16,4,12,2011,2666,Medium-Low Hybridation
573,32,13,19,2011,2666,Medium-Low Hybridation
574,23,20,3,2011,2666,High Hybridation
575,13,12,1,2011,2666,High Hybridation
576,32,32,0,2011,2666,High Hybridation
577,38,35,3,2011,2666,High Hybridation
578,47,33,14,2011,2666,Medium-High Hybridation
